Name,Age,Gender,Location,Education Level,Occupation,Hobbies,Religious Beliefs,Preferred Age Range,Preferred Gender,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness to Experience,Smoking Habits,Drinking Habits,Dietary Preferences,Fitness Level,Date of Birth,Zodiac Sign,Past Relationship Experience,Number of Relationships,Important Qualities,Deal Breakers,Relationship Goals,Salary
Kathryn,40,F,Chavezberg,Bachelors,"Journalist, broadcasting",particularly;activity,Atheist,23-31,M,7,4,2,5,4,No,No,Vegan,2,11/12/1963,Sagittarius,No,0,Kindness;Humor;Intelligence,Smoking,Marriage,151958
Christopher,31,M,New Briannamouth,Bachelors,Chartered certified accountant,section;medical,Christian,25-46,M,7,9,9,1,3,No,No,Vegetarian,5,30/11/1982,Sagittarius,Yes,0,Compatibility,Smoking,Long-term,176867
Allen,47,F,East Joycefort,Bachelors,Chemical engineer,against;color;rather,Atheist,30-39,M,4,10,1,6,4,Yes,Yes,Vegetarian,7,15/07/1963,Cancer,No,0,Support;Honesty,Smoking;Smoking,Long-term,161932
Deborah,39,F,Guzmanchester,PhD,Sports therapist,low;very;since,Jewish,24-44,F,7,5,4,4,4,No,No,Vegetarian,8,14/04/1986,Aries,Yes,0,Kindness;Intelligence,Smoking,Long-term,133694
Monica,51,M,Michaelmouth,Bachelors,Associate Professor,open,Hindu,21-46,F,1,7,9,5,8,Yes,No,Non-Vegetarian,10,02/04/1978,Aries,No,0,Humor,Disloyalty,Long-term,149879
Bryan,44,F,Blakeland,Bachelors,Information officer,ground;score,Christian,23-44,F,4,8,3,6,3,No,Yes,Vegetarian,7,06/08/1961,Leo,No,0,Compatibility;Kindness;Kindness,Disloyalty,Long-term,140268
Charles,58,F,Lake Robinside,Masters,Games developer,factor;movie;set,Muslim,24-31,M,4,6,6,5,6,Yes,No,Non-Vegetarian,7,02/06/1993,Gemini,No,0,Humor;Honesty,Disloyalty;Negativity,Long-term,84886
April,24,F,West Lisaside,High School,Musician,rise;be;myself,Atheist,22-45,M,5,6,5,6,5,No,No,Vegetarian,1,06/07/1998,Cancer,Yes,1,Humor;Support,Negativity;Smoking,Marriage,167337
Michael,37,F,Michaeltown,Bachelors,Landscape architect,again;fish;one,Hindu,20-33,M,2,9,10,3,5,Yes,Yes,Vegan,5,06/01/1981,Capricorn,No,0,Support,Disloyalty,Marriage,198266
Roger,18,M,Jacksonchester,PhD,Dancer,image,Jewish,24-40,M,3,3,9,3,5,Yes,No,Other,3,24/03/1971,Aries,No,0,Support;Compatibility;Intelligence,Smoking,Casual,117498
Kevin,43,F,Shawbury,PhD,Solicitor,information,Jewish,20-50,M,4,6,4,3,8,Yes,No,Non-Vegetarian,7,15/10/1993,Libra,No,0,Honesty;Humor;Intelligence,Smoking,Casual,142727
Erica,18,F,Jonesville,Bachelors,Environmental manager,watch;science;though,Muslim,25-41,F,7,2,9,5,4,Yes,No,Vegan,4,21/10/2004,Libra,No,0,Honesty,Smoking,Long-term,156324
Ryan,58,F,New Amyburgh,PhD,Geoscientist,drive;letter,Muslim,26-46,F,1,9,3,6,3,Yes,No,Other,5,14/11/1984,Scorpio,No,0,Compatibility;Kindness;Humor,Negativity;Disloyalty,Marriage,46023
Tamara,41,F,North Debraville,High School,Retail merchandiser,total;same;write,Other,27-42,M,8,8,9,8,3,No,Yes,Other,2,06/03/1960,Pisces,No,0,Compatibility;Compatibility;Humor,Smoking,Marriage,71090
Francisco,48,M,Choiborough,Bachelors,Diagnostic radiographer,his;ahead,Other,20-42,M,8,1,2,2,6,No,Yes,Non-Vegetarian,7,21/10/1996,Libra,Yes,2,Kindness;Compatibility,Smoking,Marriage,97221
Julie,24,F,South Ashley,Bachelors,Jewellery designer,opportunity;none,Christian,27-35,F,3,3,4,2,9,No,No,Vegetarian,7,02/04/1994,Aries,Yes,1,Kindness;Intelligence;Intelligence,Negativity,Long-term,94820
Marissa,19,M,New Edgar,Bachelors,"Civil engineer, contracting",together,Other,30-41,F,5,9,5,7,3,No,Yes,Other,3,04/08/2002,Leo,No,0,Support;Compatibility,Smoking;Smoking,Casual,30769
Maria,51,F,Wattsstad,Masters,Research scientist (life sciences),may;their,Christian,20-48,F,4,4,8,3,2,Yes,No,Vegan,2,29/04/1981,Taurus,Yes,4,Kindness,Smoking,Marriage,89735
Linda,31,F,Markview,PhD,Arts development officer,skill;before,Christian,20-46,F,3,2,8,3,4,No,Yes,Vegan,5,29/03/1969,Aries,Yes,1,Support;Support,Disloyalty,Casual,94925
Anthony,42,M,Simonmouth,PhD,Quantity surveyor,from;act,Muslim,23-31,M,8,6,8,5,2,No,No,Vegan,2,21/03/1998,Aries,Yes,5,Humor;Compatibility;Intelligence,Negativity;Negativity,Marriage,35311
Sandra,58,F,Thomasside,High School,"Social research officer, government",land,Other,22-43,M,5,9,9,4,4,Yes,No,Non-Vegetarian,6,23/04/2004,Taurus,Yes,5,Intelligence,Disloyalty;Disloyalty,Marriage,133355
Lauren,36,M,Maloneville,PhD,"Scientist, product/process development",author,Buddhist,28-43,F,3,5,5,1,10,No,Yes,Vegan,2,15/05/2002,Taurus,No,0,Kindness;Intelligence,Smoking;Disloyalty,Long-term,115305
Brent,19,M,North Anthony,Masters,"Psychologist, clinical",check;skill,Christian,21-43,F,1,10,6,9,10,No,Yes,Non-Vegetarian,6,20/10/1967,Libra,No,0,Honesty,Negativity,Long-term,189765
Anthony,58,F,Smithside,Masters,Hydrogeologist,pass;also;day,Christian,26-34,M,1,1,1,6,5,Yes,Yes,Non-Vegetarian,2,20/01/1976,Aquarius,No,0,Support,Disloyalty,Long-term,160608
Timothy,47,F,West Lisa,Masters,Chartered management accountant,once;really,Atheist,24-37,M,7,8,8,8,8,Yes,No,Non-Vegetarian,3,29/07/1974,Leo,No,0,Intelligence;Honesty;Support,Negativity;Smoking,Long-term,186730
Deanna,40,F,North Scott,PhD,"Therapist, music",guess,Atheist,22-44,F,6,1,1,5,6,No,No,Non-Vegetarian,2,21/10/1987,Libra,No,0,Compatibility,Smoking;Disloyalty,Marriage,114478
Linda,26,M,Mejiaview,PhD,"Teacher, primary school",teach;purpose;professor,Muslim,21-41,M,2,5,7,2,4,Yes,No,Other,9,14/02/1965,Aquarius,Yes,0,Honesty;Kindness;Humor,Disloyalty,Casual,152537
Toni,36,F,Port Donna,PhD,Dealer,environmental;source,Muslim,30-37,F,7,6,5,9,2,No,No,Vegan,5,17/02/1961,Aquarius,No,0,Support;Compatibility,Smoking,Long-term,179503
Lisa,57,M,Nelsonport,Bachelors,Camera operator,let,Hindu,22-36,M,4,9,6,5,5,Yes,No,Other,5,16/02/1999,Aquarius,Yes,1,Intelligence,Smoking,Marriage,160523
Michelle,25,F,North Theresafurt,PhD,Learning disability nurse,rise;something,Muslim,27-50,F,4,7,4,4,8,Yes,Yes,Vegetarian,10,22/11/1984,Sagittarius,Yes,0,Intelligence,Disloyalty;Smoking,Long-term,32747
Dillon,29,F,Randyshire,High School,Public relations account executive,much,Christian,24-39,F,2,4,9,6,2,Yes,No,Vegan,4,17/02/1999,Aquarius,No,0,Compatibility;Compatibility,Smoking;Disloyalty,Marriage,153855
Ronald,30,F,Rebeccahaven,Bachelors,Insurance underwriter,travel,Christian,27-35,M,9,2,1,7,10,No,Yes,Vegetarian,2,27/06/1998,Cancer,No,0,Kindness;Support;Humor,Disloyalty;Disloyalty,Long-term,95725
Pamela,23,M,Jonesburgh,PhD,Community arts worker,concern;protect;form,Muslim,30-43,M,4,6,2,7,3,Yes,No,Other,8,22/08/1987,Leo,Yes,4,Support,Smoking,Long-term,159981
Kaitlyn,34,F,Pughland,PhD,Social researcher,investment,Muslim,22-36,M,7,5,1,6,10,Yes,Yes,Non-Vegetarian,8,17/04/2004,Aries,No,0,Humor,Smoking;Disloyalty,Long-term,114654
Kathleen,27,F,North Dawnborough,High School,Mental health nurse,individual,Muslim,23-37,F,7,7,10,4,6,No,Yes,Vegetarian,3,03/07/1981,Cancer,No,0,Kindness;Intelligence;Kindness,Negativity;Negativity,Marriage,196845
Elizabeth,36,M,Millerfurt,Bachelors,"Nurse, mental health",low;instead;house,Muslim,30-47,F,4,3,4,6,6,No,No,Non-Vegetarian,10,04/09/1991,Virgo,Yes,0,Humor;Compatibility;Support,Disloyalty,Long-term,149346
Jason,53,F,East Melissa,Masters,Multimedia specialist,politics;view;he,Atheist,23-43,F,1,4,3,10,9,No,No,Non-Vegetarian,7,04/03/1974,Pisces,Yes,1,Support;Kindness,Smoking,Casual,97435
Monique,28,M,Port Gregorystad,High School,Building control surveyor,mention;listen;control,Hindu,23-40,M,8,7,5,8,4,No,No,Non-Vegetarian,8,04/07/1969,Cancer,No,0,Support;Intelligence;Humor,Negativity,Casual,86886
